#Wave [um]  Trans
1763.54     1.7460E-02
1771.42     2.1000E-02
1779.36     3.3010E-02
1787.38     4.0900E-02
1795.46     5.0150E-02
1803.62     8.7200E-02
1811.86     1.3510E-01
1820.17     1.5832E-01
1828.56     2.0926E-01
1837.03     2.9012E-01
1845.57     4.0867E-01
1854.19     4.9413E-01
1862.90     5.4203E-01
1871.69     6.1880E-01
1880.56     6.8404E-01
1889.51     7.0862E-01
1898.55     7.3649E-01
1907.68     7.7769E-01
1916.90     7.8071E-01
1926.20     7.5351E-01
1935.60     7.6942E-01
1945.09     7.8752E-01
1954.67     7.7024E-01
1964.35     7.7078E-01
1974.12     7.8516E-01
1983.99     7.9117E-01
1993.96     7.9051E-01
2004.03     7.9475E-01
2014.20     7.8404E-01
2024.48     7.4751E-01
2034.86     7.1706E-01
2045.35     7.1614E-01
2055.95     7.2877E-01
2066.66     6.5394E-01
2077.48     6.2972E-01
2088.41     6.5523E-01
2099.46     6.0579E-01
2110.63     5.2304E-01
2121.92     4.8533E-01
2133.32     4.6042E-01
2144.85     4.2565E-01
2156.51     3.7256E-01
2168.30     3.1379E-01
2180.21     2.6888E-01
2192.26     2.4260E-01
2204.43     2.2478E-01
2216.75     1.6688E-01
2229.20     1.0565E-01
2241.80     1.0065E-01
2254.54     9.1460E-02
2267.42     6.3790E-02
2280.45     4.2980E-02
2293.63     1.7500E-02
