#Wave [um]	  Trans
 6.73794E+02      1.08000E-03
 6.76271E+02      1.21000E-03
 6.78766E+02      1.22000E-03
 6.81280E+02      1.17000E-03
 6.83813E+02      1.19000E-03
 6.86365E+02      1.29000E-03
 6.88936E+02      1.38000E-03
 6.91524E+02      1.53000E-03
 6.94134E+02      1.85000E-03
 6.96764E+02      2.19000E-03
 6.99414E+02      2.39000E-03
 7.02083E+02      2.77000E-03
 7.04772E+02      3.71000E-03
 7.07483E+02      4.71000E-03
 7.10215E+02      5.25000E-03
 7.12968E+02      5.78000E-03
 7.15743E+02      6.31000E-03
 7.18537E+02      6.36000E-03
 7.21356E+02      6.52000E-03
 7.24196E+02      8.04000E-03
 7.27059E+02      1.05000E-02
 7.29942E+02      1.22800E-02
 7.32851E+02      1.31800E-02
 7.35783E+02      1.35400E-02
 7.38738E+02      1.28400E-02
 7.41717E+02      1.12800E-02
 7.44719E+02      1.06600E-02
 7.47746E+02      1.16600E-02
 7.50799E+02      1.35200E-02
 7.53876E+02      1.59700E-02
 7.56979E+02      1.91600E-02
 7.60106E+02      2.32800E-02
 7.63260E+02      2.88600E-02
 7.66441E+02      3.81300E-02
 7.69648E+02      5.39800E-02
 7.72880E+02      7.69700E-02
 7.76142E+02      1.05920E-01
 7.79431E+02      1.40530E-01
 7.82748E+02      1.80830E-01
 7.86094E+02      2.26650E-01
 7.89466E+02      2.78380E-01
 7.92869E+02      3.34470E-01
 7.96302E+02      3.91040E-01
 7.99764E+02      4.44470E-01
 8.03257E+02      4.92600E-01
 8.06779E+02      5.36290E-01
 8.10333E+02      5.79500E-01
 8.13919E+02      6.23590E-01
 8.17537E+02      6.64890E-01
 8.21187E+02      6.99490E-01
 8.24868E+02      7.24290E-01
 8.28584E+02      7.37710E-01
 8.32334E+02      7.43010E-01
 8.36118E+02      7.48070E-01
 8.39934E+02      7.60260E-01
 8.43787E+02      7.85160E-01
 8.47676E+02      8.21790E-01
 8.51601E+02      8.62840E-01
 8.55562E+02      9.01430E-01
 8.59558E+02      9.31650E-01
 8.63594E+02      9.48300E-01
 8.67668E+02      9.52110E-01
 8.71781E+02      9.50840E-01
 8.75933E+02      9.51090E-01
 8.80122E+02      9.55080E-01
 8.84354E+02      9.62890E-01
 8.88627E+02      9.73950E-01
 8.92941E+02      9.86220E-01
 8.97295E+02      9.96290E-01
 9.01694E+02      1.00000E+00
 9.06136E+02      9.91790E-01
 9.10623E+02      9.70320E-01
 9.15154E+02      9.37910E-01
 9.19727E+02      8.97590E-01
 9.24350E+02      8.55490E-01
 9.29019E+02      8.21520E-01
 9.33735E+02      8.01500E-01
 9.38500E+02      7.93030E-01
 9.43310E+02      7.87500E-01
 9.48173E+02      7.70890E-01
 9.53087E+02      6.95660E-01
 9.58051E+02      5.20020E-01
 9.63068E+02      3.44860E-01
 9.68134E+02      1.62410E-01
 9.73257E+02      9.94500E-02
 9.78435E+02      6.03600E-02
 9.83668E+02      3.63500E-02
 9.88954E+02      2.17600E-02
 9.94300E+02      1.30100E-02
 9.99705E+02      7.82000E-03
 1.00517E+03      4.74000E-03
 1.01069E+03      2.90000E-03
 1.01627E+03      1.78000E-03
 1.02192E+03      1.10000E-03
