#Wave [um]     Trans
8.462260E+02   7.816400E-03
8.484292E+02   7.490300E-03
8.506199E+02   7.421600E-03
8.528461E+02   8.640100E-03
8.550840E+02   1.022500E-02
8.573093E+02   1.174600E-02
8.595707E+02   1.302800E-02
8.618193E+02   1.462900E-02
8.641047E+02   1.675300E-02
8.663771E+02   2.015300E-02
8.686868E+02   2.335900E-02
8.709833E+02   2.459400E-02
8.733176E+02   2.541800E-02
8.756389E+02   2.814300E-02
8.779981E+02   3.303600E-02
8.803702E+02   3.768600E-02
8.827291E+02   3.886100E-02
8.851268E+02   3.785200E-02
8.875114E+02   3.857100E-02
8.899352E+02   3.902600E-02
8.923458E+02   4.406800E-02
8.947960E+02   5.680500E-02
8.972330E+02   6.661100E-02
8.997103E+02   6.780800E-02
9.021742E+02   6.503400E-02
9.046788E+02   6.854100E-02
9.071700E+02   8.593400E-02
9.097026E+02   1.168500E-01
9.122492E+02   1.401300E-01
9.147823E+02   1.480800E-01
9.173577E+02   1.501400E-01
9.199192E+02   1.577300E-01
9.225235E+02   1.686900E-01
9.251141E+02   1.614700E-01
9.277479E+02   1.414700E-01
9.303679E+02   1.296500E-01
9.330319E+02   1.338000E-01
9.356819E+02   1.530900E-01
9.383763E+02   1.636700E-01
9.410864E+02   1.598500E-01
9.437824E+02   1.655000E-01
9.465237E+02   1.751600E-01
9.492510E+02   1.952800E-01
9.520244E+02   2.186500E-01
9.547835E+02   2.145800E-01
9.575892E+02   1.936300E-01
9.603808E+02   1.659900E-01
9.632196E+02   1.500600E-01
9.660441E+02   1.682500E-01
9.689166E+02   1.920300E-01
9.717746E+02   2.113200E-01
9.746813E+02   2.347000E-01
9.776054E+02   2.552800E-01
9.805150E+02   2.864100E-01
9.834744E+02   3.109300E-01
9.864190E+02   3.105700E-01
9.894141E+02   3.159300E-01
9.923945E+02   3.240600E-01
9.954260E+02   3.329600E-01
9.984429E+02   3.530100E-01
1.001512E+03   3.680400E-01
1.004565E+03   3.840800E-01
1.007672E+03   3.934400E-01
1.010798E+03   4.070000E-01
1.013909E+03   4.588600E-01
1.017073E+03   5.134400E-01
1.020223E+03   5.191000E-01
1.023427E+03   4.817800E-01
1.026616E+03   4.372300E-01
1.029861E+03   4.295100E-01
1.033090E+03   4.552800E-01
1.036376E+03   4.709500E-01
1.039647E+03   4.799700E-01
1.042974E+03   4.835600E-01
1.046286E+03   4.830400E-01
1.049657E+03   4.825000E-01
1.053049E+03   4.902100E-01
1.056426E+03   5.375500E-01
1.059862E+03   5.929700E-01
1.063282E+03   5.917300E-01
1.066763E+03   5.673300E-01
1.070229E+03   5.779300E-01
1.073755E+03   6.280000E-01
1.077266E+03   6.905600E-01
1.080840E+03   7.000300E-01
1.084397E+03   6.623300E-01
1.088018E+03   6.705400E-01
1.091663E+03   7.432600E-01
1.095292E+03   7.938400E-01
1.098986E+03   7.624500E-01
1.102665E+03   6.878000E-01
1.106409E+03   6.609900E-01
1.110137E+03   7.018000E-01
1.113932E+03   7.545700E-01
1.117711E+03   7.935900E-01
1.121558E+03   7.860600E-01
1.125389E+03   7.263100E-01
1.129289E+03   6.927700E-01
1.133174E+03   7.230800E-01
1.137128E+03   7.678800E-01
1.141110E+03   7.871400E-01
1.145076E+03   7.731300E-01
1.149114E+03   7.538200E-01
1.153137E+03   7.574400E-01
1.157232E+03   7.878200E-01
1.161311E+03   8.521100E-01
1.165465E+03   8.761400E-01
1.169602E+03   8.229000E-01
1.173815E+03   7.716200E-01
1.178013E+03   7.949100E-01
1.182287E+03   8.712400E-01
1.186592E+03   9.081400E-01
1.190881E+03   8.838000E-01
1.195249E+03   8.326800E-01
1.199602E+03   8.167000E-01
1.204034E+03   8.619000E-01
1.208451E+03   8.989500E-01
1.212949E+03   8.738000E-01
1.217431E+03   8.103800E-01
1.221997E+03   7.914400E-01
1.226546E+03   8.463200E-01
1.231181E+03   9.206500E-01
1.235799E+03   9.581300E-01
1.240503E+03   9.428900E-01
1.245244E+03   9.050600E-01
1.249969E+03   8.920900E-01
1.254782E+03   9.242800E-01
1.259579E+03   9.745100E-01
1.264467E+03   1.000000E+00
1.269339E+03   9.687900E-01
1.274303E+03   9.041800E-01
1.279251E+03   8.656000E-01
1.284293E+03   8.558600E-01
1.289319E+03   8.652000E-01
1.294441E+03   8.989100E-01
1.299603E+03   9.442500E-01
1.304750E+03   9.684000E-01
1.309995E+03   9.262500E-01
1.315225E+03   8.323100E-01
1.320555E+03   7.512500E-01
1.325870E+03   7.018400E-01
1.331287E+03   6.946100E-01
1.336688E+03   6.974300E-01
1.342194E+03   6.876500E-01
1.347685E+03   6.681700E-01
1.353282E+03   5.983200E-01
1.358864E+03   5.538900E-01
1.364554E+03   5.493200E-01
1.370292E+03   5.590500E-01
1.376015E+03   6.564200E-01
1.381851E+03   7.547600E-01
1.387671E+03   7.127100E-01
1.393606E+03   5.688300E-01
1.399526E+03   4.273600E-01
1.405563E+03   4.097500E-01
1.411585E+03   5.027200E-01
1.417727E+03   5.423300E-01
1.423854E+03   5.750100E-01
1.430103E+03   5.827600E-01
1.436407E+03   5.179000E-01
1.442697E+03   4.992200E-01
1.449113E+03   4.637700E-01
1.455515E+03   4.665000E-01
1.462046E+03   5.880200E-01
1.468563E+03   6.386500E-01
1.475211E+03   5.507200E-01
1.481847E+03   4.187800E-01
1.488616E+03   3.517300E-01
1.495374E+03   3.541000E-01
1.502267E+03   3.220900E-01
1.509149E+03   2.494700E-01
1.516171E+03   1.730600E-01
1.523258E+03   1.383800E-01
1.530334E+03   1.492700E-01
1.537555E+03   1.609200E-01
1.544765E+03   1.471100E-01
1.552123E+03   1.019100E-01
1.559470E+03   7.289900E-02
1.566969E+03   8.296400E-02
