# From http://www.jach.hawaii.edu/JCMT/continuum/background/background.html
# Smoothed and downsampled to ~ 1 um bins.  850-WB filter with atmosphere
# Wave [um]    Trans
      785.197    0.0120828
      786.069    0.0125202
      786.943    0.0142455
      787.818    0.0150441
      788.696    0.0218688
      789.576    0.0361984
      790.457    0.0342016
      791.341    0.0248719
      792.226    0.0215512
      793.114    0.0246405
      794.004    0.0398290
      794.895    0.0520294
      795.789    0.0395337
      796.684    0.0298651
      797.582    0.0287166
      798.481    0.0346912
      799.383    0.0439710
      800.287    0.0526401
      801.192    0.0591038
      802.100    0.0596234
      803.010    0.0543814
      803.922    0.0553456
      804.836    0.0661798
      805.752     0.114312
      806.670     0.173379
      807.590     0.143284
      808.513     0.110244
      809.437     0.112667
      810.363     0.159066
      811.292     0.185313
      812.223     0.150707
      813.156     0.124587
      814.091     0.119933
      815.028     0.141880
      815.968     0.183611
      816.909     0.169063
      817.853     0.132676
      818.799     0.143045
      819.747     0.189605
      820.697     0.246324
      821.650     0.315092
      822.605     0.335383
      823.562     0.377080
      824.521     0.471264
      825.482     0.487563
      826.446     0.437636
      827.412     0.383040
      828.380     0.334066
      829.350     0.391678
      830.323     0.620229
      831.298     0.674337
      832.276     0.480145
      833.255     0.382063
      834.237     0.398325
      835.221     0.558816
      836.208     0.828903
      837.197     0.962406
      838.188     0.851397
      839.182     0.703307
      840.177     0.689235
      841.176     0.823842
      842.176     0.887033
      843.180     0.827655
      844.185     0.779614
      845.193     0.794951
      846.203     0.875873
      847.216     0.966577
      848.231     0.997856
      849.248     0.920997
      850.268     0.801753
      851.291     0.708544
      852.316     0.714568
      853.343     0.788970
      854.373     0.864933
      855.405     0.896764
      856.440     0.881310
      857.478     0.890984
      858.518     0.942751
      859.560     0.989455
      860.605     0.995383
      861.652     0.983734
      862.702     0.896954
      863.755     0.781842
      864.810     0.728529
      865.868     0.829250
      866.928     0.978862
      867.991     0.918848
      869.057     0.763787
      870.125     0.646183
      871.196     0.554338
      872.269     0.489921
      873.345     0.524774
      874.424     0.622437
      875.505     0.684316
      876.589     0.636028
      877.676     0.531276
      878.766     0.407960
      879.858     0.324378
      880.953     0.305215
      882.050     0.392635
      883.151     0.547587
      884.254     0.622548
      885.360     0.603263
      886.468     0.522166
      887.580     0.460707
      888.694     0.461748
      889.811     0.531079
      890.931     0.588389
      892.053     0.630449
      893.179     0.725273
      894.307     0.680572
      895.438     0.489662
      896.572     0.425152
      897.709     0.536490
      898.849     0.783944
      899.992     0.921119
      901.137     0.711376
      902.286     0.400413
      903.437     0.238346
      904.592     0.194833
      905.749     0.202161
      906.909     0.258565
      908.073     0.317612
      909.239     0.267672
      910.408     0.126091
      911.581    0.0585635
      912.756    0.0385664
      913.934    0.0317874
      915.116    0.0344394
      916.300    0.0462122
      917.488    0.0531601
      918.678    0.0482970
      919.872    0.0349625
      921.069    0.0212700
      922.269   0.00945484
      923.472   0.00235571
      924.678   0.00236170
